actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1064250,1000000,0,1.06425,64250,500,3381,False
1064500,1000000,0,1.0645,64500,500,3394,False
1064750,1000000,0,1.06475,64750,500,3407,False
1065000,1000000,0,1.065,65000,500,3421,False
1065250,1000000,0,1.06525,65250,500,3434,False
1065500,1000000,0,1.0655,65500,500,3447,False
1065750,1000000,0,1.06575,65750,500,3460,False
1066000,1000000,0,1.066,66000,500,3473,False
1066250,1000000,0,1.06625,66250,500,3486,False
1066500,1000000,0,1.0665,66500,500,3500,False
1066750,1000000,0,1.06675,66750,500,3513,False
1067000,1000000,0,1.067,67000,500,3526,False
1067250,1000000,0,1.06725,67250,500,3539,False
1067500,1000000,0,1.0675,67500,500,3552,False
1067750,1000000,0,1.06775,67750,500,3565,False
1068000,1000000,0,1.068,68000,500,3578,False
1068250,1000000,0,1.06825,68250,500,3592,False
1068500,1000000,0,1.0685,68500,500,3605,False
1068750,1000000,0,1.06875,68750,500,3618,False
1069000,1000000,0,1.069,69000,500,3631,False
1069250,1000000,0,1.06925,69250,500,3644,False
1069500,1000000,0,1.0695,69500,500,3657,False
1069750,1000000,0,1.06975,69750,500,3671,False
1070000,1000000,0,1.07,70000,500,3684,False
1070250,1000000,0,1.07025,70250,500,3697,False
1070500,1000000,0,1.0705,70500,500,3710,False
1070750,1000000,0,1.07075,70750,500,3723,False
1071000,1000000,0,1.071,71000,500,3736,False
1071250,1000000,0,1.07125,71250,500,3750,False
1071500,1000000,0,1.0715,71500,500,3763,False
1071750,1000000,0,1.07175,71750,500,3776,False
1072000,1000000,0,1.072,72000,500,3789,False
1072250,1000000,0,1.07225,72250,500,3802,False
1072500,1000000,0,1.0725,72500,500,3815,False
1072750,1000000,0,1.07275,72750,500,3828,False
1073000,1000000,0,1.073,73000,500,3842,False
1073250,1000000,0,1.07325,73250,500,3855,False
1073500,1000000,0,1.0735,73500,500,3868,False
1073750,1000000,0,1.07375,73750,500,3881,False
1074000,1000000,0,1.074,74000,500,3894,False
1074250,1000000,0,1.07425,74250,500,3907,False
1074500,1000000,0,1.0745,74500,500,3921,False
1074750,1000000,0,1.07475,74750,500,3934,False
1075000,1000000,0,1.075,75000,500,3947,False
1075250,1000000,0,1.07525,75250,500,3960,False
1075500,1000000,0,1.0755,75500,500,3973,False
1075750,1000000,0,1.07575,75750,500,3986,False
1076000,1000000,0,1.076,76000,500,4000,False
1076250,1000000,0,1.07625,76250,500,4013,False
1076500,1000000,0,1.0765,76500,500,4026,False
1076750,1000000,0,1.07675,76750,500,4039,False
1077000,1000000,0,1.077,77000,500,4052,False
1077250,1000000,0,1.07725,77250,500,4065,False
1077500,1000000,0,1.0775,77500,500,4078,False
1077750,1000000,0,1.07775,77750,500,4092,False
1078000,1000000,0,1.078,78000,500,4105,False
1078250,1000000,0,1.07825,78250,500,4118,False
1078500,1000000,0,1.0785,78500,500,4131,False
1078750,1000000,0,1.07875,78750,500,4144,False
1079000,1000000,0,1.079,79000,500,4157,False
1079250,1000000,0,1.07925,79250,500,4171,False
1079500,1000000,0,1.0795,79500,500,4184,False
1079750,1000000,0,1.07975,79750,500,4197,False
1080000,1000000,0,1.08,80000,500,4210,False
1080250,1000000,0,1.08025,80250,500,4223,False
1080500,1000000,0,1.0805,80500,500,4236,False
1080750,1000000,0,1.08075,80750,500,4250,False
1081000,1000000,0,1.081,81000,500,4263,False
1081250,1000000,0,1.08125,81250,500,4276,False
1081500,1000000,0,1.0815,81500,500,4289,False
1081750,1000000,0,1.08175,81750,500,4302,False
1082000,1000000,0,1.082,82000,500,4315,False
1082250,1000000,0,1.08225,82250,500,4328,False
1082500,1000000,0,1.0825,82500,500,4342,False
1082750,1000000,0,1.08275,82750,500,4355,False
1083000,1000000,0,1.083,83000,500,4368,False
1083250,1000000,0,1.08325,83250,500,4381,False
1083500,1000000,0,1.0835,83500,500,4394,False
1083750,1000000,0,1.08375,83750,500,4407,False
1084000,1000000,0,1.084,84000,500,4421,False
1084250,1000000,0,1.08425,84250,500,4434,False
1084500,1000000,0,1.0845,84500,500,4447,False
1084750,1000000,0,1.08475,84750,500,4460,False
1085000,1000000,0,1.085,85000,500,4473,False
1085250,1000000,0,1.08525,85250,500,4486,False
1085500,1000000,0,1.0855,85500,500,4500,False
1085750,1000000,0,1.08575,85750,500,4513,False
1086000,1000000,0,1.086,86000,500,4526,False
1086250,1000000,0,1.08625,86250,500,4539,False
1086500,1000000,0,1.0865,86500,500,4552,False
1086750,1000000,0,1.08675,86750,500,4565,False
1087000,1000000,0,1.087,87000,500,4578,False
1087250,1000000,0,1.08725,87250,500,4592,False
1087500,1000000,0,1.0875,87500,500,4605,False
1087750,1000000,0,1.08775,87750,500,4618,False
1088000,1000000,0,1.088,88000,500,4631,False
1088250,1000000,0,1.08825,88250,500,4644,False
1088500,1000000,0,1.0885,88500,500,4657,False
1088750,1000000,0,1.08875,88750,500,4671,False
1089000,1000000,0,1.089,89000,500,4684,False
1089250,1000000,0,1.08925,89250,500,4697,False
1089500,1000000,0,1.0895,89500,500,4710,False
1089750,1000000,0,1.08975,89750,500,4723,False
1090000,1000000,0,1.09,90000,500,4736,False
