marginal_price,ordinary_base,ordinary_quote,inventory_ratio,active_liquidity
0.782,285.63971094517916,103.86920132755115,0.3636371181858745,550.0
0.784,284.845893773676,104.49075966593043,0.36683259948606967,550.0
0.786,284.0551083693603,105.11152570463307,0.37003920228026765,550.0
0.788,283.26733548289855,105.73150246578723,0.37325695278469717,550.0
0.79,282.48255603562893,106.3506929523574,0.3764858773755347,550.0
0.792,281.7007511176209,106.9691001483138,0.379726002589358,550.0
0.794,280.92190198576185,107.58672701880025,0.38297735512360703,550.0
0.796,280.1459900618687,108.2035765103002,0.3862399618370551,550.0
0.798,279.3729969308276,108.81965155080049,0.3895138497502824,550.0
0.8,278.6029043387579,109.43495504995374,0.3927990460461602,550.0
0.802,277.8356941912015,110.04948989923848,0.3960955780703411,550.0
0.804,277.0713485513377,110.66325897211772,0.39940347333175547,550.0
0.806,276.309849638221,111.27626512419573,0.4027227595031171,550.0
0.808,275.55117982504476,111.8885111933731,0.4060534644214345,550.0
0.81,274.79532163742687,112.50000000000003,0.40939561608852965,550.0
0.812,274.04225775171915,113.11073434702769,0.41274924267156426,550.0
0.8140000000000001,273.29197099334067,113.7207170201583,0.4161143725035718,550.0
0.8160000000000001,272.54444433513123,114.32995078799348,0.4194910340840004,550.0
0.8180000000000001,271.79966089572963,114.9384384021806,0.42287925607925747,550.0
0.8200000000000001,271.05760393797175,115.54618259755796,0.4262790673232665,550.0
0.8220000000000001,270.3182568673108,116.15318609229804,0.4296904968180278,550.0
0.8240000000000001,269.5816032302594,116.75945158804959,0.433113573734188,550.0
0.8260000000000001,268.84762671285034,117.36498177007763,0.4365483274116172,550.0
0.8280000000000001,268.11631113912046,117.96977930740239,0.43999478735999065,550.0
0.8300000000000001,267.3876404696126,118.57384685293647,0.4434529832593809,550.0
0.8320000000000001,266.6615987998983,119.17718704362076,0.44692294496085583,550.0
0.834,265.9381703591197,119.77980250055846,0.45040470248708286,550.0
0.8360000000000001,265.2173395085505,120.38169582914827,0.45389828603294324,550.0
0.8380000000000001,264.4990907401767,120.98286961921559,0.45740372596614987,550.0
0.8400000000000001,263.78340867529477,121.58332644514246,0.46092105282787493,550.0
0.8420000000000001,263.0702780631285,122.18306886599638,0.4644502973333853,550.0
0.844,262.3596837794643,122.78209942565749,0.4679914903726836,550.0
0.8460000000000001,261.6516108253044,123.38042065294447,0.47154466301115666,550.0
